Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D4, D5, D6, D7, D8, D9",crkbd-diode,30,D,
J1,MJ-4PP-9,1,4PIN,
J2,OLED_4Pin,1,OLED,
J3,niceview_5Pin,1,nice!view,
J4,PinHeader_1x01_P2.54mm_Vertical,1,B+,
J5,PinHeader_1x01_P2.54mm_Vertical,1,B-,
"JP1, JP10, JP11, JP12, JP13, JP14, JP15, JP16, JP2, JP3, JP4, JP5, JP6, JP7, JP8, JP9",Jumper,16,Jumper_NO_Small,
RSW1,TACT_SWITCH_TVBP06,1,SW_RST,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW26, SW27, SW28, SW29, SW3, SW30, SW33, SW4, SW5, SW6, SW7, SW8, SW9",Choc_Hotswap_SK6812MiniE,30,SW_PUSH_LED,
SW31,SW_SPDT_PCM12,1,PWR Top,
SW32,SW_SPDT_PCM12,1,PWR Bottom,
"TH1, TH2",MountingHole_2.2mm_M2_ISO7380_Pad,2,HOLE,
"TH3, TH4, TH5, TH6, TH7",HOLE_M2_TH_Smaller,5,HOLE,
U1,ProMicro,1,ProMicro,
