Designator,Mid X,Mid Y,Rotation,Layer
D1,25.704999,72.773,270.0,top
D10,66.345,53.77,270.0,top
D11,85.445,44.870001,270.0,top
D12,104.445001,44.869999,270.0,top
D13,25.705,34.67,270.0,top
D14,28.245,34.669999,270.0,top
D15,47.345,37.08,270.0,top
D16,66.345,34.67,270.0,top
D17,85.445,25.67,270.0,top
D18,104.445,25.67,270.0,top
D19,25.705001,15.57,270.0,top
D2,28.245,72.77,270.0,top
D20,28.245,15.57,270.0,top
D21,47.345,18.08,270.0,top
D22,66.344999,15.57,270.0,top
D23,85.445,6.67,270.0,top
D24,104.495,6.67,270.0,top
D25,6.55,14.46736,270.0,top
D26,3.39912,-10.30264,270.0,top
D27,25.705,-3.43,270.0,top
D28,28.245,-3.43,270.0,top
D29,47.345,-1.02,270.0,top
D3,47.345001,75.27,270.0,top
D30,66.345,-3.53,270.0,top
D4,66.345,72.77,270.0,top
D5,85.445,63.9,270.0,top
D6,104.545,63.77,270.0,top
D7,25.705001,53.67,270.0,top
D8,28.245,53.67,270.0,top
D9,47.345,56.18,270.0,top
J1,-8.6,32.475,90.0,top
J2,-2.49,44.4,0.0,top
J3,-2.49,43.13,0.0,top
J4,-9.55,46.3,0.0,top
J5,3.85,46.3,0.0,top
JP1,1.3,49.700001,90.0,top
JP10,0.05,40.49962,270.0,top
JP11,-5.03,40.49962,270.0,top
JP12,-7.57,40.49962,270.0,top
JP13,2.59,40.49962,270.0,bottom
JP14,0.05,40.49962,270.0,bottom
JP15,-5.03,40.49962,270.0,bottom
JP16,-7.57,40.49962,270.0,bottom
JP2,-1.3,49.700001,90.0,top
JP3,-3.8,49.7,90.0,top
JP4,-6.3,49.700001,90.0,top
JP5,1.3,49.700001,90.0,bottom
JP6,-1.3,49.700001,90.0,bottom
JP7,-3.8,49.7,90.0,bottom
JP8,-6.3,49.700001,90.0,bottom
JP9,2.59,40.49962,270.0,top
RSW1,-3.25,25.95,180.0,top
SW1,17.55,69.0,180.0,top
SW10,74.7,52.45,180.0,top
SW11,93.75,43.450001,180.0,top
SW12,112.8,43.45,180.0,top
SW13,17.549999,30.9,180.0,top
SW14,36.6,33.399999,180.0,top
SW15,55.65,35.9,180.0,top
SW16,74.7,33.399999,180.0,top
SW17,93.75,24.4,180.0,top
SW18,112.8,24.4,180.0,top
SW19,17.55,11.85,180.0,top
SW2,36.6,71.5,180.0,top
SW20,36.6,14.349999,180.0,top
SW21,55.65,16.85,180.0,top
SW22,74.7,14.349999,180.0,top
SW23,93.75,5.35,180.0,top
SW24,112.8,5.35,180.0,top
SW26,-6.29,-14.4,120.0,top
SW27,14.6,-9.4,195.0,top
SW28,36.599999,-4.7,180.0,top
SW29,55.65,-2.2,180.0,top
SW3,55.65,74.0,180.0,top
SW30,74.7,-4.699999,180.0,top
SW31,-12.675,41.8,270.0,top
SW32,-12.675,41.8,90.0,bottom
SW33,-4.5,7.867155,200.0,top
SW4,74.7,71.5,180.0,top
SW5,93.75,62.5,180.0,top
SW6,112.8,62.5,180.0,top
SW7,17.549999,49.9,180.0,top
SW8,36.6,52.449999,180.0,top
SW9,55.650001,54.95,180.0,top
TH3,27.7,61.975001,0.0,top
TH4,103.275,52.975,0.0,top
TH5,27.7,23.875,0.0,top
TH6,103.275,14.875,0.0,top
TH7,-4.0,20.5,0.0,top
U1,-2.550593,64.472128,0.0,top
